日期,etf,代號,名稱,權重,持有數,單位
2026/04/02,00982A,2441,超豐,2.29,8180,張
2026/04/02,00982A,3264,欣銓,3.71,6992,張
2026/04/02,00982A,6257,矽格,3.15,6338,張
2026/04/02,00982A,1785,光洋科,1.33,4597,張
2026/04/02,00982A,2316,楠梓電,1.35,4125,張
2026/04/02,00982A,3105,穩懋,4.89,3945,張
2026/04/02,00982A,5536,聖暉*,7.69,3340,張
2026/04/02,00982A,2421,建準,1.34,3307,張
2026/04/02,00982A,3036,文曄,2.28,3090,張
2026/04/02,00982A,2428,興勤,1.51,3050,張
2026/04/02,00982A,4958,臻鼎-KY,1.87,2654,張
2026/04/02,00982A,2449,京元電子,2.12,2488,張
2026/04/02,00982A,6139,亞翔,3.91,2278,張
2026/04/02,00982A,5439,高技,1.75,1923,張
2026/04/02,00982A,6177,達麗,0.28,1784,張
2026/04/02,00982A,2330,台積電,8.54,1432,張
2026/04/02,00982A,2472,立隆電,0.53,1223,張
2026/04/02,00982A,2885,元大金,0.17,1102,張
2026/04/02,00982A,2481,強茂,0.32,1028,張
2026/04/02,00982A,2360,致茂,4.32,855,張
2026/04/02,00982A,2345,智邦,3.77,719,張
2026/04/02,00982A,2308,台達電,3.25,690,張
2026/04/02,00982A,8210,勤誠,1.56,564,張
2026/04/02,00982A,3324,雙鴻,1.63,543,張
2026/04/02,00982A,3491,昇達科,2.66,539,張
2026/04/02,00982A,3017,奇鋐,3.67,538,張
2026/04/02,00982A,6805,富世達,3.11,501,張
2026/04/02,00982A,2451,創見,0.36,464,張
2026/04/02,00982A,6669,緯穎,5.18,461,張
2026/04/02,00982A,2383,台光電,4.19,457,張
2026/04/02,00982A,2454,聯發科,2.14,443,張
2026/04/02,00982A,2327,國巨*,0.33,403,張
2026/04/02,00982A,8996,高力,1.06,373,張
2026/04/02,00982A,2404,漢唐,1.01,368,張
2026/04/02,00982A,3376,新日興,0.22,355,張
2026/04/02,00982A,1319,東陽,0.09,355,張
2026/04/02,00982A,3711,日月光投控,0.42,349,張
2026/04/02,00982A,5289,宜鼎,0.9,286,張
2026/04/02,00982A,6223,旺矽,3.42,276,張
2026/04/02,00982A,7769,鴻勁,3.27,259,張
2026/04/02,00982A,6274,台燿,0.38,186,張
2026/04/02,00982A,2368,金像電,0.46,155,張
2026/04/02,00982A,8464,億豐,0.16,142,張
2026/04/02,00982A,2059,川湖,1.17,106,張
2026/04/02,00982A,8046,南電,0.19,103,張
2026/04/02,00982A,4441,振大環球,0.04,59,張
2026/04/02,00982A,3665,貿聯-KY,0.37,58,張
2026/04/02,00982A,3008,大立光,0.36,51,張
2026/04/02,00982A,2548,華固,0.01,29,張
2026/04/02,00982A,3529,力旺,0.2,23,張
2026/04/02,00982A,5274,信驊,0.23,6,張
2026/04/02,00982A,3706,神達,0.0,1,張
2026/04/02,00982A,6510,精測,0.01,1,張
2026/04/02,00982A,3443,創意,0.01,1,張
2026/04/02,00982A,2886,兆豐金,0.0,1,張
2026/04/02,00982A,8358,金居,0.0,1,張
2026/04/02,00982A,1519,華城,0.0,0,張
2026/04/02,00982A,2881,富邦金,0.0,0,張
2026/04/02,00980A,2884,玉山金融控股,1.51,5569,張
2026/04/02,00980A,2891,中國信託金融控股,2.5,5447,張
2026/04/02,00980A,2881,富邦金融控股,1.52,2057,張
2026/04/02,00980A,2317,鴻海精密工業,3.1,1905,張
2026/04/02,00980A,2408,南亞科技,2.55,1510,張
2026/04/02,00980A,3231,緯創資通,1.55,1470,張
2026/04/02,00980A,2344,華邦電子,1.08,1391,張
2026/04/02,00980A,2382,廣達電腦,2.91,1213,張
2026/04/02,00980A,4915,致伸科技,0.72,1202,張
2026/04/02,00980A,3264,欣銓科技,1.32,969,張
2026/04/02,00980A,3036,文曄科技,1.31,693,張
2026/04/02,00980A,2376,技嘉科技,1.18,615,張
2026/04/02,00980A,2330,台灣積體電路製造,8.9,583,張
2026/04/02,00980A,3711,日月光投資控股,1.63,536,張
2026/04/02,00980A,6584,南俊國際,2.26,471,張
2026/04/02,00980A,2548,華固建設,0.48,470,張
2026/04/02,00980A,1477,聚陽實業,0.68,369,張
2026/04/02,00980A,8210,勤誠興業,2.61,368,張
2026/04/02,00980A,5234,達興材料,1.04,344,張
2026/04/02,00980A,6274,台燿科技,1.77,338,張
2026/04/02,00980A,6831,邁科科技,1.02,314,張
2026/04/02,00980A,2308,台達電子工業,3.69,306,張
2026/04/02,00980A,2368,金像電子（股）公司,2.28,299,張
2026/04/02,00980A,5434,崇越科技,0.82,294,張
2026/04/02,00980A,3044,健鼎科技,0.74,253,張
2026/04/02,00980A,2449,京元電子,0.51,232,張
2026/04/02,00980A,3293,鈊象電子,1.45,227,張
2026/04/02,00980A,2345,智邦科技,2.79,208,張
2026/04/02,00980A,5904,寶雅國際,0.76,181,張
2026/04/02,00980A,3017,奇鋐科技,3.07,176,張
2026/04/02,00980A,2360,致茂電子,2.19,169,張
2026/04/02,00980A,8996,高力熱處理工業,1.2,165,張
2026/04/02,00980A,2454,聯發科技,1.93,156,張
2026/04/02,00980A,3665,貿聯控股（BizLink Holding In,2.1,130,張
2026/04/02,00980A,6805,富世達,1.76,111,張
2026/04/02,00980A,8299,群聯電子,1.44,110,張
2026/04/02,00980A,6669,緯穎科技服務,2.99,104,張
2026/04/02,00980A,1590,亞德客國際集團,0.76,91,張
2026/04/02,00980A,7769,鴻勁精密,2.78,86,張
2026/04/02,00980A,2383,台光電子材料,2.0,85,張
2026/04/02,00980A,2059,川湖科技,2.31,82,張
2026/04/02,00980A,1519,華城電機,0.5,75,張
2026/04/02,00980A,6223,旺矽科技,2.25,71,張
2026/04/02,00980A,6442,光紅建聖,1.2,71,張
2026/04/02,00980A,3653,健策精密工業,2.06,66,張
2026/04/02,00980A,3533,嘉澤端子工業,0.93,54,張
2026/04/02,00980A,3443,創意電子,0.98,50,張
2026/04/02,00980A,6515,穎崴科技,2.06,37,張
2026/04/02,00980A,5274,信驊科技,2.46,25,張
2026/04/02,00980A,6510,中華精測科技,0.29,11,張
2026/04/02,00980A,202604TX,台灣證交所加權股價指數,3.73,0,張
2026/04/02,00981A,C_NTD,CASH,7.4,7659099,張
2026/04/02,00981A,M_NTD,MARGIN,0.48,500128,張
2026/04/02,00981A,1303,南亞,1.47,19743,張
2026/04/02,00981A,2327,國巨*,2.63,11083,張
2026/04/02,00981A,1326,台化,0.39,9001,張
2026/04/02,00981A,2449,京元電子,1.88,7512,張
2026/04/02,00981A,3037,欣興,3.71,7410,張
2026/04/02,00981A,8046,南電,3.78,6895,張
2026/04/02,00981A,2368,金像電,5.78,6607,張
2026/04/02,00981A,3711,日月光投控,2.15,6159,張
2026/04/02,00981A,5347,世界,0.62,5845,張
2026/04/02,00981A,2330,台積電,9.49,5428,張
2026/04/02,00981A,2002,中鋼,0.09,4929,張
2026/04/02,00981A,2308,台達電,6.05,4379,張
2026/04/02,00981A,3211,順達,1.31,4086,張
2026/04/02,00981A,2345,智邦,5.6,3646,張
2026/04/02,00981A,6191,精成科,0.29,3402,張
2026/04/02,00981A,3665,貿聯-KY,5.65,3052,張
2026/04/02,00981A,3017,奇鋐,6.05,3026,張
2026/04/02,00981A,3264,欣銓,0.45,2870,張
2026/04/02,00981A,2383,台光電,7.55,2807,張
2026/04/02,00981A,3189,景碩,0.86,2657,張
2026/04/02,00981A,8358,金居,0.43,1955,張
2026/04/02,00981A,6274,台燿,1.06,1773,張
2026/04/02,00981A,2481,強茂,0.15,1636,張
2026/04/02,00981A,3653,健策,5.72,1595,張
2026/04/02,00981A,6139,亞翔,0.78,1559,張
2026/04/02,00981A,1319,東陽,0.12,1504,張
2026/04/02,00981A,3376,新日興,0.26,1428,張
2026/04/02,00981A,6223,旺矽,5.14,1414,張
2026/04/02,00981A,6488,環球晶,0.53,1330,張
2026/04/02,00981A,6805,富世達,2.06,1130,張
2026/04/02,00981A,4979,華星光,0.38,1037,張
2026/04/02,00981A,6510,精測,1.85,604,張
2026/04/02,00981A,2404,漢唐,0.48,595,張
2026/04/02,00981A,8996,高力,0.43,515,張
2026/04/02,00981A,2454,聯發科,0.72,508,張
2026/04/02,00981A,8210,勤誠,0.39,480,張
2026/04/02,00981A,3217,優群,0.07,477,張
2026/04/02,00981A,6187,萬潤,0.34,388,張
2026/04/02,00981A,5274,信驊,3.59,318,張
2026/04/02,00981A,3661,世芯-KY,0.72,275,張
2026/04/02,00981A,6515,穎崴,1.71,268,張
2026/04/02,00981A,3443,創意,0.6,267,張
2026/04/02,00981A,3324,雙鴻,0.14,160,張
2026/04/02,00981A,6669,緯穎,0.25,76,張
2026/04/02,00981A,3008,大立光,0.02,10,張
2026/04/02,00981A,2439,美律,0.0,8,張
2026/04/02,00981A,2357,華碩,0.0,8,張
2026/04/02,00981A,3045,台灣大,0.0,8,張
2026/04/02,00981A,3583,辛耘,0.0,8,張
2026/04/02,00981A,2313,華通,0.0,7,張
2026/04/02,00981A,1815,富喬,0.0,5,張
2026/04/02,00981A,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,-0.23,-241929,張
2026/04/02,00981A,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,-2.42,-2503747,張
2026/04/02,00984A,2887,台新新光金,2.58,4730,張
2026/04/02,00984A,2883,凱基金控,1.91,4292,張
2026/04/02,00984A,2880,華南金控,2.38,3136,張
2026/04/02,00984A,2885,元大金,2.94,2864,張
2026/04/02,00984A,2891,中信金,3.24,2652,張
2026/04/02,00984A,1102,亞泥,2.01,2548,張
2026/04/02,00984A,2303,聯電,2.96,2464,張
2026/04/02,00984A,1402,遠東新,1.47,2452,張
