code,name,shares,weight,price,currency
2330,台積電,2913000,9.62,1775.0,TWD
8299,群聯,1908000,8.45,2380.0,TWD
2308,台達電,3094000,7.02,1220.0,TWD
3017,奇鋐,2290000,6.22,1460.0,TWD
2345,智邦,2526000,5.24,1115.0,TWD
6274,台燿,5399000,5.05,503.0,TWD
3653,健策,916000,4.84,2840.0,TWD
6669,緯穎,722000,4.8,3575.0,TWD
6223,旺矽,962000,4.5,2515.0,TWD
2383,台光電,1352000,4.39,1745.0,TWD
2368,金像電,2797000,3.65,701.0,TWD
3665,貿聯-KY,1483848,3.59,1300.0,TWD
2327,國巨*,6551000,3.38,277.5,TWD
5274,信驊,174000,2.87,8880.0,TWD
8046,南電,3788000,2.74,388.5,TWD
6805,富世達,1016000,2.69,1425.0,TWD
3661,世芯-KY,458000,2.66,3125.0,TWD
8210,勤誠,1563000,2.63,905.0,TWD
6139,亞翔,1610000,1.72,575.0,TWD
3037,欣興,2353000,1.66,378.5,TWD
6515,穎崴,225000,1.63,3905.0,TWD
8358,金居,1826000,0.89,262.0,TWD
1815,富喬,4454000,0.76,91.8,TWD
6510,精測,124000,0.76,3305.0,TWD
6488,環球晶,766000,0.71,497.0,TWD
3533,嘉澤,263000,0.7,1430.0,TWD
6191,精成科,3238000,0.65,108.5,TWD
1319,東陽,2563000,0.52,109.5,TWD
1326,台化,5635000,0.44,42.35,TWD
5269,祥碩,172000,0.41,1290.0,TWD
3211,順達,570000,0.36,338.5,TWD
3376,新日興,727000,0.28,210.0,TWD
2059,川湖,40000,0.23,3140.0,TWD
4979,華星光,329000,0.19,316.0,TWD
2002,中鋼,4923000,0.19,20.75,TWD
1802,台玻,2065000,0.19,48.25,TWD
3217,優群,326000,0.09,156.5,TWD
3008,大立光,3000,0.01,2410.0,TWD
2357,華碩,2000,0.0,496.0,TWD
8996,高力,1000,0.0,747.0,TWD
2439,美律,2000,0.0,99.8,TWD
3045,台灣大,2000,0.0,105.5,TWD
2454,聯發科,1000,0.0,1760.0,TWD
5536,聖暉*,1000,0.0,630.0,TWD
2884,玉山金,2010,0.0,33.4,TWD
2313,華通,1000,0.0,169.0,TWD
2449,京元電子,1000,0.0,296.0,TWD
2317,鴻海,1000,0.0,220.5,TWD
1303,南亞,1000,0.0,75.9,TWD
3583,辛耘,2000,0.0,327.0,TWD
6415,矽力*-KY,1000,0.0,280.5,TWD
3711,日月光投控,2000,0.0,297.0,TWD
